,region_id,year,id,city,trend_lg_agri_predicted,trend_lg_nonagri_predicted,trend_lg_gdppc_predicted,v1,v8,province_id,province,lg_nonagri_predicted,lg_agri_predicted,lg_gdppc_predicted,lg_totalgdp_predicted,lg101214,urban_population,total_population,emp_agri,emp_ind,emp_ser,emp_agri_gr,emp_nonagri,emp_nonagri_gr,agri_gdp,nonagri_gdp,non_agri_share,agri_gdp_empgr,nonagri_gdp_empgr,ln_total_population,urban_pop_percent,club_trend_lg_gdppc_predicted,club_trend_lg_nonagri_predicted,club_trend_lg_agri_predicted,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted,re_trend_lg_gdppc_predicted,re_trend_lg_nonagri_predicted,re_trend_lg_agri_predicted,W_lg_nonagri_predicted,W_lg_agri_predicted,W_lg_gdppc_predicted,W_lg_totalgdp_predicted,W_lg101214,W_urban_population,W_total_population,W_emp_agri,W_emp_ind,W_emp_ser,W_emp_agri_gr,W_emp_nonagri,W_emp_nonagri_gr,W_agri_gdp,W_nonagri_gdp,W_non_agri_share,W_agri_gdp_empgr,W_nonagri_gdp_empgr,W_ln_total_population,W_urban_pop_percent
0,0,2004,110000,北京市,4.318491,9.0227137,10.793742,3,1415,110000,Beijing,8.7894506,4.291225,10.571342,8.800518,9.0357065,11579828.0,14170503.0,7.1999998,27.26,65.540001,-1.72,92.800003,1.72,73.055901,6564.625,0.98899376,-125.65615,11291.155,16.466673,0.81717831,4.0,,34.0,2.0,,28.0,1.1315873,1.5119864,1.0634458,6.770653500000001,4.0664545500000004,9.9051656625,6.8941241,7.9479389125,2180481.9299999997,5357150.9875,1.8650000212500002,49.98374925,48.152500125,-0.23124999875000002,98.13624974999999,0.237499996,97.9486390875,1235.87329625,0.8870434524999998,-21.619654801250004,296.961143,15.3725385,0.4293085425
1,0,2005,110000,北京市,4.3848205,9.1161594,10.876256,4,1786,110000,Beijing,9.0295868,4.3445344,10.797304,9.0387764,9.0289965,11655225.0,14251875.0,7.0900002,26.32,66.589996,-0.11,92.910004,0.11,77.056152,8346.4102,0.99085218,-8.4761763,918.1051,16.472399,0.81780291,4.0,,34.0,2.0,,28.0,1.1285928,1.4998029,1.0625442,6.9315607375,4.1124058875000005,10.0431958,7.0414414999999995,7.9593952875000005,2202607.09625,5386656.55,1.43749996125,51.0050005,47.5549995,-0.42749998237500003,98.5600005,0.423749983125,101.92865327499999,1447.0699800000002,0.8984743074999999,-41.87193686,324.58812725,15.377362625,0.43117213000000004
2,0,2006,110000,北京市,4.4510822,9.2090216,10.958215,5,2157,110000,Beijing,9.1914024,4.3860998,10.943153,9.1995554,9.0297737,11778702.0,14335465.0,0.51999998,27.639999,71.839996,-6.5700002,99.480003,6.5700002,80.326515,9812.4023,0.99188024,-527.74524,64467.484,16.478247,0.8216477,4.0,,34.0,2.0,,28.0,1.1256371,1.4880407,1.0616789,7.117061374999999,4.1614371000000006,10.214744650000002,7.214061812500001,7.951679149999999,2283491.29,5424768.525,1.3962500387500003,50.901249875000005,47.703750625000005,-0.04124999865,98.605000625,0.04499999965,106.9222126,1732.90119875,0.90958756875,-1.9063252749999993,185.828659525,15.384063999999999,0.44564777625
3,0,2007,110000,北京市,4.5171065,9.3005009,11.038864,6,2528,110000,Beijing,9.2975349,4.4525948,11.035969,9.3053722,9.0152693,11907847.0,14421595.0,0.5,26.459999,73.040001,-0.02,99.5,0.02,85.849411,10911.09,0.99219334,-1.7169882,218.22179,16.484238,0.82569557,4.0,,34.0,2.0,,28.0,1.1227031,1.4766855,1.0608605,7.2191211,4.247331675000001,10.3032900375,7.3137327999999995,7.946879975000001,2325608.67875,5457462.012499999,1.4037500275000003,50.780000125,47.81625075,0.0075000012500000025,98.596248625,-0.008749998525,115.95573221250001,1920.4253,0.9116567525,-4.93935942125,43.425798374999985,15.389886125,0.45162526375
4,0,2008,110000,北京市,4.5825624,9.3897543,11.117413,7,2899,110000,Beijing,9.4253645,4.5761981,11.153507,9.4331684,9.0025444,12003953.0,14511200.0,0.46000001,24.59,74.949997,-0.039999999,99.540001,0.039999999,97.144356,12398.918,0.992226,-3.8857741,495.9567,16.490431,0.82721984,4.0,,34.0,2.0,,28.0,1.1197835,1.4657426,1.0600979,7.3460773875,4.342672037500001,10.4203338375,7.440315962499999,7.948026137499999,2350301.0025,5492346.3125,1.3100000225,50.522499625,48.166249625,-0.09374999887500002,98.68875037499998,0.09249999857500177,128.3826208125,2196.11178875,0.912053755,-19.20318069875,153.97566245001462,15.396810375,0.45320182625
5,0,2009,110000,北京市,4.6469574,9.4759302,11.193062,8,3270,110000,Beijing,9.5350161,4.6410804,11.259397,9.5424805,8.9868107,12116751.0,14604689.0,0.51999998,23.440001,76.029999,0.059999999,99.470001,-0.07,103.65627,13835.818,0.99256384,6.2193761,-968.50726,16.496853,0.82964802,4.0,,34.0,2.0,,28.0,1.1168766,1.4552251,1.0593839,7.4874567999999995,4.4118267375,10.56083375,7.57359625,7.943954,2370087.0050000004,5528708.0125,1.2012499825,50.255000624999994,48.545000499999986,-0.10875000075,98.80000000000003,0.11125000222499999,137.26058946249998,2492.3507925,0.9191098725000001,-22.864619698749998,267.126153625,15.403403750000003,0.45391563
6,0,2010,110000,北京市,4.7097831,9.5582666,11.265105,9,3641,110000,Beijing,9.6637068,4.73913,11.362788,9.6709461,8.9690752,12087508.0,14512027.0,0.5,23.389999,76.110001,-0.02,99.5,0.029999999,114.33469,15736.007,0.99278659,-2.2866936,472.0802,16.490488,0.83293039,4.0,,34.0,2.0,,28.0,1.1139876,1.4451559,1.0587176,7.6019524999999994,4.5155314625,10.648736437500002,7.6865845375,7.9488483500000005,2377353.055,5489522.175,1.05874999875,50.19,48.749999624999994,-0.14249999597500002,98.9400005,0.139999997475,152.078024125,2771.141425,0.9204314950000001,-30.119741422500002,402.76956662500004,15.39665275,0.45907573999999995
7,0,2011,110000,北京市,4.7705159,9.6361494,11.332999,10,4012,110000,Beijing,9.7998686,4.8496084,11.490576,9.8069248,8.9492359,12136546.0,14583986.0,0.34,24.209999,75.449997,-0.16,99.660004,0.16,127.69038,18031.375,0.9929682,-20.43046,2885.02,16.495434,0.83218306,4.0,,34.0,2.0,,28.0,1.1111299,1.4355658,1.0581002,7.7553726375,4.61968595,10.794656937500001,7.837076425,7.953704712499999,2379412.745,5515742.6875,0.8787499974999999,50.953750625,48.167500249999996,-0.18000000335,99.12125024999999,0.1812500011,168.828950875,3251.3622375,0.9230456262500001,-48.823920112500005,464.41780900000003,15.401454875,0.45857293375
8,0,2012,110000,北京市,4.8287058,9.7092276,11.396447,11,4383,110000,Beijing,9.9003162,4.944128,11.583091,9.9073315,8.9185343,16533811.0,19758804.0,0.31,22.68,77.010002,-0.029999999,99.690002,0.029999999,140.34842,19936.674,0.99300951,-4.2104526,598.10022,16.79911,0.83678198,4.0,,34.0,2.0,,28.0,1.1083187,1.4264749,1.0575289,7.84147,4.715561137500001,10.871640625,7.9239032875,7.964404349999999,2813703.97375,5988177.637499999,0.7725000025,52.90999975,46.31750037500001,-0.10625000089999997,99.227500875,0.10624999962499998,186.20205387500002,3533.3103125,0.9223864087500001,-28.158240010000007,474.343173,15.483260375,0.4594609975
9,0,2013,110000,北京市,4.8841014,9.7775593,11.455544,12,4754,110000,Beijing,9.8152924,4.9917622,11.477465,9.8232985,8.8800917,16795728.0,19853414.0,0.41999999,21.940001,77.639999,0.11,99.580002,-0.11,147.19557,18311.643,0.99202573,16.191513,-2014.2806,16.803886,0.8459869,4.0,,34.0,2.0,,28.0,1.1055748,1.4178928,1.0570015,7.862049387499999,4.7611840375000005,10.8826196,7.94536125,7.966379337500001,2849745.86,6009601.6625,0.7262500112499999,53.607499125,45.66624912500001,-0.046250001225,99.27375037499999,0.04625000122500177,193.84793324999998,3575.5473625000004,0.9216035225,-15.292427824999999,127.99787587502269,15.485500124999998,0.46343934374999995
