id,city,year,trend_lg_agri_predicted,trend_lg_nonagri_predicted,trend_lg_gdppc_predicted,v1,v8,province_id,province,lg_nonagri_predicted,lg_agri_predicted,lg_gdppc_predicted,lg_totalgdp_predicted,lg101214,urban_population,total_population,emp_agri,emp_ind,emp_ser,emp_agri_gr,emp_nonagri,emp_nonagri_gr,agri_gdp,nonagri_gdp,non_agri_share,agri_gdp_empgr,nonagri_gdp_empgr,ln_total_population,urban_pop_percent,club_trend_lg_gdppc_predicted,club_trend_lg_nonagri_predicted,club_trend_lg_agri_predicted,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted,re_trend_lg_gdppc_predicted,re_trend_lg_nonagri_predicted,re_trend_lg_agri_predicted
110000,北京市,2004,4.318491,9.0227137,10.793742,3,1415,110000,Beijing,8.7894506,4.291225,10.571342,8.800518,9.0357065,11579828,14170503,7.1999998,27.26,65.540001,-1.72,92.800003,1.72,73.055901,6564.625,.98899376,-125.65615,11291.155,16.466673,.81717831,4,,34,2,,28,1.1315873,1.5119864,1.0634458
110000,北京市,2005,4.3848205,9.1161594,10.876256,4,1786,110000,Beijing,9.0295868,4.3445344,10.797304,9.0387764,9.0289965,11655225,14251875,7.0900002,26.32,66.589996,-.11,92.910004,.11,77.056152,8346.4102,.99085218,-8.4761763,918.1051,16.472399,.81780291,4,,34,2,,28,1.1285928,1.4998029,1.0625442
110000,北京市,2006,4.4510822,9.2090216,10.958215,5,2157,110000,Beijing,9.1914024,4.3860998,10.943153,9.1995554,9.0297737,11778702,14335465,.51999998,27.639999,71.839996,-6.5700002,99.480003,6.5700002,80.326515,9812.4023,.99188024,-527.74524,64467.484,16.478247,.8216477,4,,34,2,,28,1.1256371,1.4880407,1.0616789
110000,北京市,2007,4.5171065,9.3005009,11.038864,6,2528,110000,Beijing,9.2975349,4.4525948,11.035969,9.3053722,9.0152693,11907847,14421595,.5,26.459999,73.040001,-.02,99.5,.02,85.849411,10911.09,.99219334,-1.7169882,218.22179,16.484238,.82569557,4,,34,2,,28,1.1227031,1.4766855,1.0608605
110000,北京市,2008,4.5825624,9.3897543,11.117413,7,2899,110000,Beijing,9.4253645,4.5761981,11.153507,9.4331684,9.0025444,12003953,14511200,.46000001,24.59,74.949997,-.039999999,99.540001,.039999999,97.144356,12398.918,.992226,-3.8857741,495.9567,16.490431,.82721984,4,,34,2,,28,1.1197835,1.4657426,1.0600979
110000,北京市,2009,4.6469574,9.4759302,11.193062,8,3270,110000,Beijing,9.5350161,4.6410804,11.259397,9.5424805,8.9868107,12116751,14604689,.51999998,23.440001,76.029999,.059999999,99.470001,-.07,103.65627,13835.818,.99256384,6.2193761,-968.50726,16.496853,.82964802,4,,34,2,,28,1.1168766,1.4552251,1.0593839
110000,北京市,2010,4.7097831,9.5582666,11.265105,9,3641,110000,Beijing,9.6637068,4.73913,11.362788,9.6709461,8.9690752,12087508,14512027,.5,23.389999,76.110001,-.02,99.5,.029999999,114.33469,15736.007,.99278659,-2.2866936,472.0802,16.490488,.83293039,4,,34,2,,28,1.1139876,1.4451559,1.0587176
110000,北京市,2011,4.7705159,9.6361494,11.332999,10,4012,110000,Beijing,9.7998686,4.8496084,11.490576,9.8069248,8.9492359,12136546,14583986,.34,24.209999,75.449997,-.16,99.660004,.16,127.69038,18031.375,.9929682,-20.43046,2885.02,16.495434,.83218306,4,,34,2,,28,1.1111299,1.4355658,1.0581002
110000,北京市,2012,4.8287058,9.7092276,11.396447,11,4383,110000,Beijing,9.9003162,4.944128,11.583091,9.9073315,8.9185343,16533811,19758804,.31,22.68,77.010002,-.029999999,99.690002,.029999999,140.34842,19936.674,.99300951,-4.2104526,598.10022,16.79911,.83678198,4,,34,2,,28,1.1083187,1.4264749,1.0575289
110000,北京市,2013,4.8841014,9.7775593,11.455544,12,4754,110000,Beijing,9.8152924,4.9917622,11.477465,9.8232985,8.8800917,16795728,19853414,.41999999,21.940001,77.639999,.11,99.580002,-.11,147.19557,18311.643,.99202573,16.191513,-2014.2806,16.803886,.8459869,4,,34,2,,28,1.1055748,1.4178928,1.0570015
